OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;37 år;Fraskilt;2022K1;4980
Hele landet;37 år;Gift/separeret;2022K1;32999
Hele landet;37 år;Ugift;2022K1;27880
Hele landet;38 år;Fraskilt;2022K1;5510
Hele landet;38 år;Gift/separeret;2022K1;33178
Hele landet;38 år;Ugift;2022K1;25641
Hele landet;39 år;Fraskilt;2022K1;6251
Hele landet;39 år;Gift/separeret;2022K1;34675
Hele landet;39 år;Ugift;2022K1;24729
Hele landet;40 år;Fraskilt;2022K1;6800
Hele landet;40 år;Gift/separeret;2022K1;35351
Hele landet;40 år;Ugift;2022K1;22993
Hele landet;41 år;Fraskilt;2022K1;7819
Hele landet;41 år;Gift/separeret;2022K1;37948
Hele landet;41 år;Ugift;2022K1;22894
Hele landet;42 år;Fraskilt;2022K1;8766
Hele landet;42 år;Gift/separeret;2022K1;38753
Hele landet;42 år;Ugift;2022K1;22086
Hele landet;43 år;Fraskilt;2022K1;10050
Hele landet;43 år;Gift/separeret;2022K1;39912
Hele landet;43 år;Ugift;2022K1;21364
Hele landet;44 år;Fraskilt;2022K1;10591
Hele landet;44 år;Gift/separeret;2022K1;39993
Hele landet;44 år;Ugift;2022K1;20164
Hele landet;45 år;Fraskilt;2022K1;11827
Hele landet;45 år;Gift/separeret;2022K1;41245
Hele landet;45 år;Ugift;2022K1;20278
Hele landet;46 år;Fraskilt;2022K1;13279
Hele landet;46 år;Gift/separeret;2022K1;44618
Hele landet;46 år;Ugift;2022K1;21088
Hele landet;47 år;Fraskilt;2022K1;13733
Hele landet;47 år;Gift/separeret;2022K1;44214
Hele landet;47 år;Ugift;2022K1;19771
Hele landet;48 år;Fraskilt;2022K1;14364
Hele landet;48 år;Gift/separeret;2022K1;43627
Hele landet;48 år;Ugift;2022K1;19117
Hele landet;49 år;Fraskilt;2022K1;15504
Hele landet;49 år;Gift/separeret;2022K1;45782
Hele landet;49 år;Ugift;2022K1;19066
Hele landet;50 år;Fraskilt;2022K1;15441
Hele landet;50 år;Gift/separeret;2022K1;45423
Hele landet;50 år;Ugift;2022K1;18124
Hele landet;51 år;Fraskilt;2022K1;15158
Hele landet;51 år;Gift/separeret;2022K1;43615
Hele landet;51 år;Ugift;2022K1;16615
Hele landet;52 år;Fraskilt;2022K1;15241
Hele landet;52 år;Gift/separeret;2022K1;43368
Hele landet;52 år;Ugift;2022K1;16164
Hele landet;53 år;Fraskilt;2022K1;16205
Hele landet;53 år;Gift/separeret;2022K1;44756
Hele landet;53 år;Ugift;2022K1;16241
Hele landet;54 år;Fraskilt;2022K1;17440
Hele landet;54 år;Gift/separeret;2022K1;47574
Hele landet;54 år;Ugift;2022K1;16937
Hele landet;55 år;Fraskilt;2022K1;18581
Hele landet;55 år;Gift/separeret;2022K1;51154
Hele landet;55 år;Ugift;2022K1;17410
Hele landet;56 år;Fraskilt;2022K1;17931
Hele landet;56 år;Gift/separeret;2022K1;49715
Hele landet;56 år;Ugift;2022K1;16216
Hele landet;57 år;Fraskilt;2022K1;17198
Hele landet;57 år;Gift/separeret;2022K1;48342
Hele landet;57 år;Ugift;2022K1;15671
Hele landet;58 år;Fraskilt;2022K1;16467
Hele landet;58 år;Gift/separeret;2022K1;47551
Hele landet;58 år;Ugift;2022K1;14842
Hele landet;59 år;Fraskilt;2022K1;15308
Hele landet;59 år;Gift/separeret;2022K1;45060
Hele landet;59 år;Ugift;2022K1;13293
Hele landet;60 år;Fraskilt;2022K1;14401
Hele landet;60 år;Gift/separeret;2022K1;44081
Hele landet;60 år;Ugift;2022K1;12515
Hele landet;61 år;Fraskilt;2022K1;14102
Hele landet;61 år;Gift/separeret;2022K1;43897
Hele landet;61 år;Ugift;2022K1;11863
Hele landet;62 år;Fraskilt;2022K1;12970
Hele landet;62 år;Gift/separeret;2022K1;42461
Hele landet;62 år;Ugift;2022K1;10938
Hele landet;63 år;Fraskilt;2022K1;12568
Hele landet;63 år;Gift/separeret;2022K1;42579
Hele landet;63 år;Ugift;2022K1;10498
Hele landet;64 år;Fraskilt;2022K1;12060
Hele landet;64 år;Gift/separeret;2022K1;42059
Hele landet;64 år;Ugift;2022K1;9941
Hele landet;65 år;Fraskilt;2022K1;11709
Hele landet;65 år;Gift/separeret;2022K1;42350
Hele landet;65 år;Ugift;2022K1;9313
Hele landet;66 år;Fraskilt;2022K1;11386
Hele landet;66 år;Gift/separeret;2022K1;41333
Hele landet;66 år;Ugift;2022K1;8639
Hele landet;67 år;Fraskilt;2022K1;10976
Hele landet;67 år;Gift/separeret;2022K1;40184
Hele landet;67 år;Ugift;2022K1;7857
Hele landet;68 år;Fraskilt;2022K1;10804
Hele landet;68 år;Gift/separeret;2022K1;40571
Hele landet;68 år;Ugift;2022K1;7350
Hele landet;69 år;Fraskilt;2022K1;10148
Hele landet;69 år;Gift/separeret;2022K1;39424
Hele landet;69 år;Ugift;2022K1;6592
Hele landet;70 år;Fraskilt;2022K1;9696
Hele landet;70 år;Gift/separeret;2022K1;38253
Hele landet;70 år;Ugift;2022K1;5862
Hele landet;71 år;Fraskilt;2022K1;9993
Hele landet;71 år;Gift/separeret;2022K1;38628
Hele landet;71 år;Ugift;2022K1;5352
Hele landet;72 år;Fraskilt;2022K1;9450
Hele landet;72 år;Gift/separeret;2022K1;37918
Hele landet;72 år;Ugift;2022K1;4681
Hele landet;73 år;Fraskilt;2022K1;9404
Hele landet;73 år;Gift/separeret;2022K1;39151
Hele landet;73 år;Ugift;2022K1;4347
Hele landet;74 år;Fraskilt;2022K1;9777
Hele landet;74 år;Gift/separeret;2022K1;40397
Hele landet;74 år;Ugift;2022K1;4086
Hele landet;75 år;Fraskilt;2022K1;9588
Hele landet;75 år;Gift/separeret;2022K1;40283
Hele landet;75 år;Ugift;2022K1;3745
Hele landet;76 år;Fraskilt;2022K1;8672
Hele landet;76 år;Gift/separeret;2022K1;36971
Hele landet;76 år;Ugift;2022K1;3171
Hele landet;77 år;Fraskilt;2022K1;7814
Hele landet;77 år;Gift/separeret;2022K1;32911
Hele landet;77 år;Ugift;2022K1;2758
Hele landet;78 år;Fraskilt;2022K1;6845
Hele landet;78 år;Gift/separeret;2022K1;28263
Hele landet;78 år;Ugift;2022K1;2324
Hele landet;79 år;Fraskilt;2022K1;6143
Hele landet;79 år;Gift/separeret;2022K1;24998
Hele landet;79 år;Ugift;2022K1;1911
Hele landet;80 år;Fraskilt;2022K1;4984
Hele landet;80 år;Gift/separeret;2022K1;20528
Hele landet;80 år;Ugift;2022K1;1575
Hele landet;81 år;Fraskilt;2022K1;4470
Hele landet;81 år;Gift/separeret;2022K1;18000
Hele landet;81 år;Ugift;2022K1;1405
Hele landet;82 år;Fraskilt;2022K1;3907
Hele landet;82 år;Gift/separeret;2022K1;15397
Hele landet;82 år;Ugift;2022K1;1256
Hele landet;83 år;Fraskilt;2022K1;3434
Hele landet;83 år;Gift/separeret;2022K1;13583
Hele landet;83 år;Ugift;2022K1;1126
Hele landet;84 år;Fraskilt;2022K1;2832
Hele landet;84 år;Gift/separeret;2022K1;11278
Hele landet;84 år;Ugift;2022K1;999
Hele landet;85 år;Fraskilt;2022K1;2282
Hele landet;85 år;Gift/separeret;2022K1;9229
Hele landet;85 år;Ugift;2022K1;824
Hele landet;86 år;Fraskilt;2022K1;1924
Hele landet;86 år;Gift/separeret;2022K1;7026
Hele landet;86 år;Ugift;2022K1;711
Hele landet;87 år;Fraskilt;2022K1;1602
Hele landet;87 år;Gift/separeret;2022K1;5534
Hele landet;87 år;Ugift;2022K1;596
Hele landet;88 år;Fraskilt;2022K1;1312
Hele landet;88 år;Gift/separeret;2022K1;4306
Hele landet;88 år;Ugift;2022K1;524
Hele landet;89 år;Fraskilt;2022K1;997
Hele landet;89 år;Gift/separeret;2022K1;3218
Hele landet;89 år;Ugift;2022K1;437
Hele landet;90 år;Fraskilt;2022K1;795
Hele landet;90 år;Gift/separeret;2022K1;2463
Hele landet;90 år;Ugift;2022K1;388
Hele landet;91 år;Fraskilt;2022K1;589
Hele landet;91 år;Gift/separeret;2022K1;1721
Hele landet;91 år;Ugift;2022K1;318
Hele landet;92 år;Fraskilt;2022K1;498
Hele landet;92 år;Gift/separeret;2022K1;1211
Hele landet;92 år;Ugift;2022K1;245
Hele landet;93 år;Fraskilt;2022K1;388
Hele landet;93 år;Gift/separeret;2022K1;843
Hele landet;93 år;Ugift;2022K1;215
Hele landet;94 år;Fraskilt;2022K1;266
Hele landet;94 år;Gift/separeret;2022K1;541
Hele landet;94 år;Ugift;2022K1;161
Hele landet;95 år;Fraskilt;2022K1;213
Hele landet;95 år;Gift/separeret;2022K1;342
Hele landet;95 år;Ugift;2022K1;112
Hele landet;96 år;Fraskilt;2022K1;145
Hele landet;96 år;Gift/separeret;2022K1;207
Hele landet;96 år;Ugift;2022K1;102
Hele landet;97 år;Fraskilt;2022K1;110
Hele landet;97 år;Gift/separeret;2022K1;121
Hele landet;97 år;Ugift;2022K1;71
Hele landet;98 år;Fraskilt;2022K1;71
Hele landet;98 år;Gift/separeret;2022K1;66
Hele landet;98 år;Ugift;2022K1;35
Hele landet;99 år;Fraskilt;2022K1;45
Hele landet;99 år;Gift/separeret;2022K1;34
Hele landet;99 år;Ugift;2022K1;19
Hele landet;100 år;Fraskilt;2022K1;27
Hele landet;100 år;Gift/separeret;2022K1;14
Hele landet;100 år;Ugift;2022K1;33
Hele landet;101 år;Fraskilt;2022K1;18
Hele landet;101 år;Gift/separeret;2022K1;8
Hele landet;101 år;Ugift;2022K1;15
Hele landet;102 år;Fraskilt;2022K1;8
Hele landet;102 år;Gift/separeret;2022K1;4
Hele landet;102 år;Ugift;2022K1;2
Hele landet;103 år;Fraskilt;2022K1;1
Hele landet;103 år;Gift/separeret;2022K1;5
Hele landet;103 år;Ugift;2022K1;4
Hele landet;104 år;Fraskilt;2022K1;4
Hele landet;104 år;Gift/separeret;2022K1;0
Hele landet;104 år;Ugift;2022K1;1
Hele landet;105 år;Fraskilt;2022K1;3
Hele landet;105 år;Gift/separeret;2022K1;0
Hele landet;105 år;Ugift;2022K1;1
Hele landet;106 år;Fraskilt;2022K1;1
Hele landet;106 år;Gift/separeret;2022K1;0
Hele landet;106 år;Ugift;2022K1;1
Hele landet;107 år;Fraskilt;2022K1;0
Hele landet;107 år;Gift/separeret;2022K1;0
Hele landet;107 år;Ugift;2022K1;0
Hele landet;108 år;Fraskilt;2022K1;0
Hele landet;108 år;Gift/separeret;2022K1;0
Hele landet;108 år;Ugift;2022K1;0
Hele landet;109 år;Fraskilt;2022K1;0
Hele landet;109 år;Gift/separeret;2022K1;0
Hele landet;109 år;Ugift;2022K1;0
Hele landet;110 år;Fraskilt;2022K1;0
Hele landet;110 år;Gift/separeret;2022K1;0
Hele landet;110 år;Ugift;2022K1;0
Hele landet;111 år;Fraskilt;2022K1;0
Hele landet;111 år;Gift/separeret;2022K1;0
Hele landet;111 år;Ugift;2022K1;0
Hele landet;112 år;Fraskilt;2022K1;0
Hele landet;112 år;Gift/separeret;2022K1;0
Hele landet;112 år;Ugift;2022K1;0
Hele landet;113 år;Fraskilt;2022K1;0
Hele landet;113 år;Gift/separeret;2022K1;0
Hele landet;113 år;Ugift;2022K1;0
Hele landet;114 år;Fraskilt;2022K1;0
Hele landet;114 år;Gift/separeret;2022K1;0
Hele landet;114 år;Ugift;2022K1;0
Hele landet;115 år;Fraskilt;2022K1;0
Hele landet;115 år;Gift/separeret;2022K1;0
Hele landet;115 år;Ugift;2022K1;0
Hele landet;116 år;Fraskilt;2022K1;0
Hele landet;116 år;Gift/separeret;2022K1;0
Hele landet;116 år;Ugift;2022K1;0
Hele landet;117 år;Fraskilt;2022K1;0
Hele landet;117 år;Gift/separeret;2022K1;0
Hele landet;117 år;Ugift;2022K1;0
Hele landet;118 år;Fraskilt;2022K1;0
Hele landet;118 år;Gift/separeret;2022K1;0
Hele landet;118 år;Ugift;2022K1;0
Hele landet;119 år;Fraskilt;2022K1;0
Hele landet;119 år;Gift/separeret;2022K1;0
Hele landet;119 år;Ugift;2022K1;0
Hele landet;120 år;Fraskilt;2022K1;0
Hele landet;120 år;Gift/separeret;2022K1;0
Hele landet;120 år;Ugift;2022K1;0
Hele landet;121 år;Fraskilt;2022K1;0
Hele landet;121 år;Gift/separeret;2022K1;0
Hele landet;121 år;Ugift;2022K1;0
Hele landet;122 år;Fraskilt;2022K1;0
Hele landet;122 år;Gift/separeret;2022K1;0
Hele landet;122 år;Ugift;2022K1;0
Hele landet;123 år;Fraskilt;2022K1;0
Hele landet;123 år;Gift/separeret;2022K1;0
Hele landet;123 år;Ugift;2022K1;0
Hele landet;124 år;Fraskilt;2022K1;0
Hele landet;124 år;Gift/separeret;2022K1;0
Hele landet;124 år;Ugift;2022K1;0
Hele landet;125 år;Fraskilt;2022K1;0
Hele landet;125 år;Gift/separeret;2022K1;0
Hele landet;125 år;Ugift;2022K1;0
